"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X21.1","X22.1","X23.1","X24.1","X25.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","X19.2","X20.2","X21.2","X22.2","X23.2","X24.2","X25.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3","X13.3","X14.3","X15.3","X16.3","X17.3","X18.3","X19.3","X20.3","X21.3","X22.3","X23.3","X24.3","X25.3"
"X1",NA,0.335906792186021,0.948825118968968,0.730551833044183,0.397305434140212,0.795948397807507,0.367534588430871,0.201189202665368,0.123395266443152,0.912879104659848,0.639084307624082,0.568406814295305,0.200635533647288,0.619059871846484,0.776560845499643,0.716928622239615,0.168053244103511,0.423950769877474,0.733130519762565,0.968300752356389,0.561758063261188,0.456893621929736,0.93746692590663,0.589569077436279,0.824319505553281,0.210243248411781,0.100866556886835,0.227875457461199,0.567549096114779,0.194940235407106,0.900977332082129,0.858830610348867,0.300373250275177,0.124351317565034,0.267855360404562,0.713861490721289,0.249994986527585,0.415986901594091,0.0187524464802578,0.948344583241219,0.464238495637112,0.869739950764942,0.351449911257838,0.201401712900205,0.689784499965585,0.743948198154104,0.579999806151556,0.940398395473937,0.627280164895675,0.280930150215623,0.0918265602394373,0.648141215916391,0.0557907501145698,0.206796927465989,0.109106222055481,0.0399743763718301,0.0319161629793541,0.0657949499156427,0.559203836503654,0.0156315669646527,0.683177070616052,0.257178664597943,0.155976021625418,0.254421608686383,0.398892862100355,0.0340732406721054,0.112762161216811,0.970315822382809,0.712175186297773,0.801753959676909,0.0699546393233673,0.335459902767785,0.683110821110531,0.490047678441938,0.730293332307138,0.490974794261185,0.33788680467401,0.238949444618441,0.865290074601062,0.181198406572828,0.312317070485691,0.178734514823483,0.156760708891796,0.0575041043055866,0.873125286395538,0.0447594279589694,0.730508934005903,0.882602819889881,0.807190988727784,0.762639520281548,0.275819717697658,0.908469486945554,0.551595260795835,0.215158148153442,0.568983646468651,0.700188111525074,0.595980003785094,0.640568784798013,0.809629320184562,0.654678721203896
"X2",0.257229672125366,NA,0.590150582889136,0.740581898196154,0.887426393591381,0.71569438176985,0.268027335279499,0.0853724129456313,0.224091929232102,0.719490710673883,0.601176339140573,0.608531573825895,0.276114429067583,0.281976560793771,0.831018829727336,0.391189974805946,0.129421983661338,0.410875458145613,0.862686216416377,0.660543184756428,0.119587215764644,0.87221962810895,0.652901549196402,0.789115421547028,0.976472431967351,0.482151877921135,0.537419688498781,0.590878731865121,0.844631630297258,0.813684415937547,0.918752184106154,0.673847990672728,0.08614224013315,0.15740306378101,0.450347461264926,0.694504588866172,0.790719848612753,0.880005597461833,0.173933376974105,0.536508707470945,0.230253954779982,0.563067148186058,0.826013616186859,0.0141598528164838,0.571671394063542,0.984638249369539,0.351920673841805,0.548537655130597,0.578211222239182,0.204599733162014,0.155562317683259,0.610219530600866,0.207285987399296,0.973611994178243,0.335108057348936,0.37841140886999,0.281710186530692,0.263451887990496,0.950463937658012,0.0138684948917068,0.992759857506004,0.229575877232179,0.536547911402263,0.207121841050308,0.281801427911491,0.186383970419438,0.829863684433145,0.253938039737299,0.695305809514631,0.909815319801482,0.0517876426388298,0.399428536492561,0.325947808564279,0.36728283859965,0.869924017586649,0.574566965740924,0.217432543695532,0.333618962185076,0.81662736823852,0.387716152798049,0.510135320891094,0.863141376453774,0.279276725585604,0.150373889067715,0.744611315072759,0.120625366929232,0.612651270437019,0.984374199724381,0.967071653975647,0.494158416814047,0.153090655500509,0.518607089392477,0.728697050295586,0.00556465150323679,0.4193304101821,0.726835798609093,0.706944249773424,0.601843342145518,0.886456897537307,0.646847212240308
"X3",0.931329010857024,0.43093089193694,NA,0.542043192835717,0.763194130649942,0.506613575345694,0.459479202451835,0.0526139465340602,0.108374175607969,0.497220528709618,0.717367082243197,0.583826044500883,0.103796617204716,0.619712295129346,0.992915203187571,0.45857209635496,0.459826245064729,0.295463013221257,0.781778889117302,0.6692888955907,0.247138239673678,0.404804853498961,0.703244762635328,0.645886945386948,0.475753905272916,0.911678998195882,0.0448639328479346,0.0179910836748102,0.124062103842413,0.137698999601342,0.568080006728084,0.694077820791378,0.843793518801278,0.0689265597002724,0.536434134654325,0.145512832129027,0.932280025173296,0.515375075616007,0.126241093751686,0.580329605118297,0.534542391711376,0.930458270398339,0.961892552286854,0.284143879155247,0.899701160085853,0.0563506794794622,0.664038519165965,0.650396758810936,0.646156916821061,0.286354445422758,0.00472574170292689,0.88736037679643,0.0448180539458057,0.253277268461612,0.0686529581958052,0.0538225502201428,0.0529278108934183,0.0580398131517657,0.704855272251418,0.198007267279204,0.952346371826504,0.10243042638375,0.0325728373158905,0.258132371874263,0.537189382088766,0.245928553018752,0.233457194564567,0.643009526694492,0.581745741413161,0.62788294131468,0.23935666791409,0.525621946309456,0.772978960828342,0.454470147373885,0.521479154128109,0.712236027897377,0.209930347316504,0.428525835873155,0.284767434464518,0.0439092931055001,0.855235284219511,0.659787032795819,0.31598314921542,0.330181218177359,0.472164681142835,0.63912020853927,0.327622593891036,0.403160246568833,0.408260238194083,0.229033329884549,0.1554865946843,0.94932879673066,0.579428815624262,0.265828895342877,0.0367818007980853,0.275473772552048,0.340464194264069,0.463340072589976,0.175251670535309,0.496091214239827
"X4",0.206522685979238,0.922062749898087,0.265872203479233,NA,0.965318762331381,0.353038256524159,0.991805917556647,0.398510050873568,0.633041262761121,0.23864452192365,0.811261053836169,0.367750849852049,0.214282473983024,0.386357042649971,0.446282911709029,0.824934188749398,0.169503868100759,0.287361130928951,0.802864248913481,0.347720707478502,0.658229229605694,0.395389756834354,0.63769844695094,0.685225082171233,0.638405897415983,0.977079798483546,0.663566658094335,0.883735434997185,0.176681322871255,0.873809971928525,0.834962850702345,0.609472422025983,0.491510179423774,0.985604467929758,0.967875073163751,0.971318586673463,0.967321239736139,0.618292465223214,0.853401737234669,0.662307324146315,0.998110011426493,0.72403658415851,0.864695884118517,0.730998884284948,0.139221251376925,0.280479742392552,0.696741271503622,0.364968689396934,0.937824014493525,0.706795102770905,0.900990967565675,0.850483743055995,0.356795088682007,0.415636737367172,0.082030179660654,0.614628864322066,0.131825487525008,0.356387681264644,0.875765815999321,0.0955537673345748,0.829062701720944,0.26175114586519,0.294789157129079,0.384136607561042,0.0465729241588223,0.0877419386738137,0.385222755274449,0.918989956737047,0.576380504618166,0.334435205063297,0.0538246975706335,0.89665623007745,0.74179257411129,0.392606759714074,0.664690829616867,0.344534765731477,0.716532417494133,0.309385838881805,0.561667839035155,0.113753110357222,0.271021917896521,0.0855953294788494,0.132226110763207,0.477135353166673,0.701543412403682,0.0902787399080058,0.538586239902764,0.657912359226108,0.642839777712799,0.460597239109956,0.272710301614493,0.860113499844929,0.724751294265495,0.489436294576177,0.959162859530542,0.759105876887866,0.983988001410545,0.974537088296729,0.650228306544423,0.591151386131497
"X5",0.819429901738253,0.511895962305817,0.994245487294009,0.971777453556701,NA,0.452321770953879,0.472648280837809,0.632947059508602,0.0232936616365897,0.596141314184425,0.966756620653012,0.305422176367964,0.531327814145588,0.861541893058832,0.932416242707254,0.530689636253055,0.304133947937711,0.0721884568883626,0.170126703896184,0.617001490097102,0.915310036630506,0.566968524964012,0.187765855528052,0.99936482459745,0.743024725447225,0.929364523977589,0.224123121447469,0.289832376525705,0.757571433195276,0.0154935629574105,0.286279596326774,0.271595170208457,0.206958515960786,0.13041682894988,0.133431984715177,0.190244141781956,0.142556155100022,0.963815218378021,0.00407502809079215,0.958020046463408,0.102858450287217,0.654187091558587,0.0477821659592106,0.299559667456565,0.903920911627361,0.486841908076209,0.4937595544824,0.526844340577204,0.322289926415571,0.411072001788035,0.0374418714274589,0.619880379661747,0.222049724768879,0.899879450128674,0.393658325148396,0.0344694896589063,0.208753131005798,0.142567495067415,0.787301716646741,0.384000606135645,0.391861692008038,0.814666718308727,0.59624817126478,0.481776341815724,0.695930660186448,0.568972576440066,0.105704799907792,0.963093520512682,0.471500206924559,0.700902977037855,0.814505063198626,0.531604262172107,0.805036850259045,0.471940072804836,0.312722875183328,0.850015697541461,0.705643058291977,0.157321002050132,0.350035501936292,0.319757639024708,0.66603829437428,0.749486261857671,0.223766577814251,0.615141411740296,0.550333791491436,0.696658562522861,0.530299266051335,0.47157913727857,0.665385399360506,0.472888972141703,0.886931932834213,0.467210084031165,0.691205613424575,0.0999998388645222,0.296962042621931,0.619762506548196,0.537043264890011,0.807674161780019,0.666332242964907,0.687851226863982
"X6",0.460389611644819,0.39101126799041,0.283755164174196,0.763695105379582,0.185735125671298,NA,0.615711152218412,0.260461902875697,0.203117429628559,0.671843405138126,0.783754202676532,0.564184433004666,0.181992311376179,0.20428932466918,0.453107658692998,0.247193581835579,0.731776515194329,0.471342744297593,0.980153125098034,0.685769108291397,0.47866703221101,0.811967404335104,0.591461785824228,0.410011813860114,0.858797109283367,0.0716815068914762,0.129307147247515,0.189194872520612,0.665149881780512,0.240258351047533,0.771928437712259,0.945880945729227,0.171676590938532,0.197551083963944,0.840861505731824,0.323217597761048,0.469039149197106,0.900423137228211,0.0817177940514276,0.690451499850867,0.355272737365579,0.672569065150419,0.379980620864251,0.0836788943532321,0.476922949794089,0.980214326660262,0.964142178387774,0.937814541514801,0.522679471518566,0.190015377348184,0.0619893052328906,0.720619683724087,0.199701068830891,0.71179281676986,0.578120106871557,0.318196278050412,0.377762863532326,0.0681543725065048,0.81573424686714,0.217890781250928,0.636458113883637,0.233985798468068,0.220783078451486,0.560380186043204,0.155626826295852,0.452870731604099,0.448039924640395,0.794475151207358,0.867855840136936,0.756218175939484,0.583785279613984,0.660407280434381,0.56789088830383,0.780452945297547,0.767522380264918,0.495377187766308,0.118882109670141,0.365336179692403,0.906603551085517,0.148289619232145,0.992697450861259,0.596094979646439,0.257999125605427,0.0944994736624776,0.473225370889878,0.525490349639799,0.70431024839237,0.628772747732396,0.646095376001044,0.201022626308361,0.323619958677784,0.605924169888743,0.93446019170035,0.795882795198136,0.638177086973874,0.488758140982789,0.377571548589245,0.353762243302489,0.944604015024142,0.480937479208736
"X7",0.114361791889258,0.0148069861696229,0.383878903830852,0.649832238707727,0.132277993597944,0.0491760303949801,NA,0.512469906122532,0.868784890623227,0.574702658541301,0.0607681236517337,0.163476026714852,0.163925007811044,0.232601195907827,0.0247404055270491,0.718791944490423,0.264871889997388,0.848072992440754,0.502648713805706,0.638565601030354,0.339913564813141,0.500182240265204,0.427538226178564,0.785079455602237,0.566062745909166,0.609049789475092,0.135833059831697,0.371214858942587,0.84752633088727,0.233705903028346,0.891164107335189,0.778678844619814,0.15491579331597,0.650501495159319,0.7043017839611,0.56594861552517,0.872880845272169,0.872202118866561,0.585640799876918,0.451079608484626,0.826704674273667,0.612098064016823,0.104318563475968,0.424191536155509,0.990255460079379,0.54957103844307,0.23840253941524,0.82665493862026,0.267447596077597,0.520122234778021,0.173395735499637,0.305454364295577,0.344232294536186,0.147195140906969,0.222081491219671,0.14394513082028,0.331065763056322,0.138383370950272,0.440680902061006,0.200837939670196,0.790171484131387,0.0336102842026888,0.632065645139826,0.0871187483200046,0.704857580569545,0.129750900419317,0.131863444750913,0.529688782920896,0.729697476785504,0.185961044027459,0.64861959431759,0.405446829595479,0.886137359707188,0.623090854134747,0.412627968991527,0.778194301169793,0.00501571332948862,0.458531272185784,0.262908034017625,0.72710670641477,0.527725395827895,0.718380515353232,0.0073489510738045,0.0422312842414191,0.334875800172375,0.117812050906937,0.0804966246931473,0.920390097262443,0.865854351499752,0.352366571947297,0.831375993684218,0.359825592771898,0.532968835233147,0.348619352747817,0.317832838938385,0.785331195866663,0.832605895506077,0.793271993574653,0.439356457388534,0.209215551072308
"X8",0.962576875032873,0.385308021428239,0.523614280721842,0.798922226598946,0.57146000945824,0.292887893274095,0.695354384600823,NA,0.242273751077483,0.406886946185879,0.15077822824273,0.218521816730747,0.597597713517527,0.837706311576844,0.118786803841066,0.295188059243699,0.0484961923599443,0.412025043983358,0.527748841496266,0.653183470041803,0.39518966337184,0.619441492346403,0.857546241078157,0.721981955065476,0.541349822798263,0.515107729248485,0.356153150763618,0.261831704810938,0.146385410060599,0.0738758991623198,0.731700085718868,0.400990299843008,0.195255348931213,0.37347098155837,0.947815239617737,0.790303377652272,0.793945995047125,0.334175796400846,0.482833414210763,0.378725209714236,0.713143630125214,0.185192167204553,0.247286671820818,0.402225725028752,0.354330349026136,0.593934677531471,0.609117431745708,0.509669561957428,0.136959501773394,0.503878384723977,0.191086712919881,0.443189672196093,0.410156513307102,0.223935412310676,0.72012033821423,0.181340529481546,0.247241619867997,0.0419069576974573,0.993709909725883,0.374033506136296,0.566616939558395,0.0265301284016196,0.761813972472108,0.297817200902735,0.358588282770806,0.0246616739385435,0.0505412286171079,0.594177648177093,0.46876283527003,0.0293046037090229,0.484157222735244,0.877063588858642,0.515125190076163,0.526641218823432,0.379500508183078,0.181450206155355,0.534309908292086,0.0289552462291745,0.481332264894282,0.498421473715682,0.17797272762322,0.126511166295702,0.329616967953195,0.757867516382987,0.990698642891644,0.0239979755291332,0.601793485505989,0.439351205414175,0.107888760106291,0.263577237137645,0.969951010192944,0.835996694420479,0.0814153087984062,0.0639971839586802,0.630947621465699,0.359275411604525,0.271578015032632,0.417938684711854,0.804313705135048,0.969042622983937
"X9",0.682585621705441,0.48636537867238,0.608238855821089,0.375029377934176,0.913683484860333,0.812213438222457,0.878376952167242,0.136450921077871,NA,0.109527195784588,0.326782831176034,0.383453671271566,0.0279183052492977,0.667500947282612,0.658132899457186,0.516139512155748,0.481987014371546,0.292371468173605,0.12296257932986,0.561237922025245,0.560250779350675,0.069410778682925,0.616701012108968,0.981955108560157,0.215032043420821,0.188744199872687,0.5970510583147,0.627586475218931,0.905241307566434,0.838712048749692,0.823301933882954,0.744860117348919,0.0224509405279742,0.798125144338963,0.214518197130005,0.426972147432924,0.234292452264538,0.625952077267876,0.64007392137861,0.382583701833382,0.081896418993105,0.0889533672413467,0.807641811056781,0.405285100403904,0.386201536773699,0.550140772000238,0.14437752642196,0.601655914477312,0.138382310518762,0.403070105579135,0.799590087304903,0.34123483922013,0.123499284250012,0.589436688265982,0.612856981236926,0.586486186827741,0.255599320253458,0.893384524803995,0.34804383984248,0.285612765496304,0.397885266618655,0.294823126772753,0.794214956956043,0.183376876832642,0.626062890541142,0.494661714746495,0.657075783119905,0.894307645976232,0.479144053814171,0.141406094705694,0.924268629903272,0.956401393586527,0.702020000014528,0.215183586020079,0.256822308665207,0.352794190231864,0.174444351778916,0.792728508651407,0.782181585386117,0.0818784384711526,0.800438509142581,0.294557444163105,0.0767858415376638,0.580604288654352,0.729155957773549,0.991361405324669,0.648242524972418,0.508475442344677,0.188435239199147,0.146456457373946,0.312392869998228,0.163153644929362,0.460932657844226,0.739545392086909,0.589781748791196,0.964467433945207,0.96019663623607,0.548908456531124,0.476672737777133,0.893138524604017
"X10",0.0875913396689098,0.342055795198928,0.00620700898894209,0.0309433131092254,0.333867292086971,0.316392623618882,0.131320523940293,0.368855682865407,0.911799703161446,NA,0.316335670241096,0.76935141240961,0.749636492556603,0.341018252367231,0.670859225359425,0.0625623069707503,0.532161950515626,0.0442542458169623,0.441024406288395,0.137600869484666,0.11717414683868,0.590506929831983,0.39570322189881,0.92743530030926,0.24785692574082,0.89576203059783,0.444860947433269,0.295255718206459,0.83188922729584,0.587090029057887,0.45330335502267,0.979218036539036,0.16231643974237,0.358701908138635,0.0903388055302691,0.61322346040121,0.231469253449034,0.776168641404721,0.701103355856395,0.374547299035151,0.488121187005192,0.178645257471412,0.555656722440397,0.553905623099086,0.24998923239127,0.809908602921059,0.268231186152163,0.977156583140826,0.513464619945115,0.112344531159077,0.609578261117539,0.340754045190214,0.626636250690088,0.0654143374826266,0.17461253826825,0.247217641354752,0.805646277060411,0.307907451697451,0.0162582286672995,0.280404932996967,0.207867574177242,0.536172763775874,0.891138884307673,0.629177740820025,0.277624587850589,0.946587353122965,0.0875013739706042,0.339688235922936,0.0190768749557786,0.761083193666132,0.780730898384757,0.29902749440738,0.573589179886077,0.0327605953673435,0.232912350049718,0.443032222602826,0.371708148482279,0.853568390841703,0.280379173652509,0.827749758121983,0.880455721203437,0.0510232121226019,0.521329092341939,0.111877202791435,0.893674896938362,0.760236491881583,0.849616104285129,0.843707842201892,0.636910144857485,0.484485600866924,0.405031267110798,0.700267373373496,0.937642151168836,0.531121651195694,0.210990562199105,0.730037767412761,0.388882539744959,0.536003272311858,0.419908846948031,0.165350278986701
