"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X21.1","X22.1","X23.1","X24.1","X25.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","X19.2","X20.2","X21.2","X22.2","X23.2","X24.2","X25.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3","X13.3","X14.3","X15.3","X16.3","X17.3","X18.3","X19.3","X20.3","X21.3","X22.3","X23.3","X24.3","X25.3"
"X1",NA,0.257419342056923,0.370593306323777,0.181327159419083,0.846565357211223,0.829881918767842,0.200441925563021,0.528114850249832,0.927413195520636,0.634686693281254,0.305883318868689,0.922240618723019,0.358644210262014,0.358481873093506,0.669593817128178,0.0356885139790701,0.69270486101998,0.78954369234652,0.490140080041884,0.462313323514185,0.551933608503704,0.0416297410698749,0.0382265438296868,0.746331254229298,0.297631445269411,0.75242447291857,0.0779543769135687,0.960743742301548,0.477262740274173,0.859974437867784,0.195706134743504,0.928558401620351,0.0492833302296092,0.37689196211989,0.474885950951722,0.557348574028701,0.423962240843321,0.335116042437411,0.943076589759066,0.146991137285732,0.402848222183266,0.162311921208436,0.176325443743872,0.611360584564011,0.84045414432714,0.501705555705906,0.460793113004529,0.0116894133429932,0.552496096223767,0.18021710977875,0.00918878075138001,0.279165734761688,0.21614207952082,0.392893178278268,0.00188708728275569,0.0452057554804377,0.00466083472324921,0.11408684322966,0.262817096335753,0.173940368755756,0.268000267628149,0.868486486710132,0.239572415246992,0.191724794630557,0.107483320434869,0.936020006468159,0.0249887477183601,0.101087153941278,0.0363956129249889,0.417228160803722,0.752823376174137,0.446004881631007,0.189255574681361,0.97332663721838,0.898347272226541,0.245871254942046,0.551516300312544,0.780460169937753,0.669241454733056,0.114464687869902,0.149184790360882,0.185197953469032,0.725949335089574,0.105052912247696,0.167487886213366,0.722519376152637,0.375494782686996,0.0835493434447009,0.382885081465788,0.098889122526894,0.352213185220054,0.645192523013184,0.40643707314572,0.860674559439612,0.558516347464225,0.427974102747456,0.784836618524926,0.316042375944935,0.608656681636107,0.434989834113302
"X2",0.228091568763093,NA,0.657099147100833,0.119212881928655,0.648447982466455,0.705612117604071,0.143592516082494,0.426431367826474,0.687456944546615,0.709766638056318,0.240832439930832,0.548069910404165,0.103771107770292,0.559494331036015,0.872019388919254,0.0215803348205493,0.685182285767449,0.535154921913549,0.836543577349254,0.151768774640237,0.525044142228956,0.0678718160484142,0.0137530976386385,0.749604143474459,0.154460147631645,0.892802827723166,0.190140945417429,0.174904202512756,0.737413014451351,0.833887674806089,0.358839781471266,0.50189041168058,0.0504434604493661,0.97645854469338,0.716352000418933,0.943445464101122,0.313036540276587,0.659797800229925,0.996231483992401,0.604438450993682,0.926731755497573,0.467976486616552,0.820416211390018,0.402415820526796,0.56177468143965,0.537581552978119,0.393136310002725,0.0402645243867074,0.934363281914331,0.318828521986366,0.355265499812035,0.435790471423256,0.221232643281502,0.669666540089142,0.0448587004414142,0.637859053538236,0.214193704666667,0.529207070028373,0.949010085267444,0.321799075233723,0.946637675921498,0.815834599909511,0.577773375292368,0.0868668690703179,0.44667680526178,0.875121956518823,0.30934535331624,0.125913445638566,0.441827246935105,0.00830365338681419,0.400714775624514,0.816802646285391,0.377139637299419,0.833764257034292,0.87045174103611,0.47596137169162,0.0603622862993634,0.718529481382375,0.853196081543541,0.0900102641796411,0.183699849322412,0.195099412116884,0.349775092011419,0.743645465279068,0.110471412706818,0.686487181967536,0.629975034394456,0.153446119517738,0.840358531257488,0.0773324881768065,0.748034987663449,0.791583549740394,0.741452621599266,0.677137865129128,0.535031024289095,0.785720799422228,0.863673734604499,0.494477019884241,0.982136727329447,0.861719744045136
"X3",0.876612618290581,0.562456011899775,NA,0.795162592602184,0.903503905733132,0.87746008578459,0.785907860382975,0.677578616692791,0.410307277349018,0.564141185286196,0.135912254783439,0.662631704235696,0.854715927410559,0.311586225167665,0.793821371211408,0.947877412704357,0.721436763498935,0.573459868813026,0.561701037083568,0.536318993881828,0.314603390643059,0.22378542770843,0.724047064985103,0.243890611966783,0.833434344590947,0.859112883985593,0.134527479038944,0.398611378217765,0.961577769703321,0.841225556408862,0.143563519647402,0.546328925191503,0.0497436538406208,0.773527766617538,0.873748469528973,0.250268466459229,0.408820811426421,0.218900073836633,0.349231947361082,0.00687285478038061,0.735441404802914,0.349336470239232,0.447360522157235,0.025881998279564,0.468666513365247,0.568542323462494,0.509736028362546,0.0317649882398146,0.512867297743022,0.649151337014275,0.0178979287894835,0.802924364106618,0.463617724975467,0.61549858381181,0.0243951067302076,0.0635178186273501,0.078995022985788,0.26228701785864,0.6084469126724,0.131020698193045,0.295153559897871,0.807493307861277,0.243517321680203,0.657006666655844,0.956473918428758,0.650038781573289,0.20097852386384,0.470820587932367,0.420601428441956,0.803050939452223,0.703736495510282,0.307691573835397,0.828738257306614,0.967582457713737,0.418596505347972,0.936284976316321,0.302497358185051,0.634615301234149,0.896098419049821,0.443352954119264,0.12077684207152,0.752700228623237,0.594990089285607,0.0255853498746812,0.336000586886256,0.842639396527674,0.109184502720742,0.648343258194253,0.0415359876935039,0.310350268851001,0.52310831018544,0.333830969907159,0.956260604498867,0.736339821575687,0.583318060239708,0.590416654743276,0.173603626703772,0.963874146208691,0.230431064815437,0.161677339248052
"X4",0.980066304781154,0.646458722946219,0.232359209251025,NA,0.39014169413423,0.839483989124723,0.527815638310562,0.75195327361515,0.335419384095866,0.673682953350593,0.286590787053224,0.785782665862113,0.625934217063232,0.376886852947638,0.691668787202279,0.801903592526173,0.67644735598588,0.853736392395716,0.180513429630093,0.472554003118729,0.667983890287227,0.395478233007095,0.943465138368913,0.292053987685647,0.886680338330697,0.586264772682938,0.0669632791194859,0.679266204244401,0.882451164016956,0.833827124402565,0.260407459610891,0.95273580624178,0.037142112280953,0.85901918574344,0.977137608891492,0.984558610050346,0.873770541624796,0.478832439564234,0.562680535025189,0.0640598413746502,0.451917899295888,0.489619957424198,0.215476888183961,0.328292763782955,0.855929832715324,0.749339143077694,0.828087242843624,0.056102374402467,0.902802273213541,0.907855612940098,0.00842875279410811,0.369976119273256,0.456115018883346,0.652271571463581,0.00259011798422094,0.204778397330838,0.082854547802958,0.322979932218523,0.34672815037629,0.0294943474781226,0.918973065696406,0.558387457742341,0.326502579998936,0.273244264180345,0.974775777676762,0.952620919407191,0.0176765738110246,0.0355950758059169,0.349546220753428,0.946369751229405,0.581771574100997,0.835067987067839,0.948102023475758,0.812650707810678,0.593945399414322,0.283387630910945,0.347394394170429,0.701441544547807,0.533467661613719,0.449090267561497,0.315579436497881,0.392951581036758,0.0375654458864004,0.129363588109659,0.666828459010915,0.987760159963888,0.657867007260088,0.114559612218679,0.495867564424512,0.823524631121845,0.691388376183059,0.635986897094493,0.411466467583557,0.977446325660065,0.993839494719374,0.81319869764051,0.503036006788312,0.628920121845681,0.308599994784251,0.546378370815003
"X5",0.855660514361597,0.950139609140152,0.950252046589255,0.857153031864946,NA,0.971308254137783,0.997079897822446,0.602727079883347,0.801331346625921,0.674027926367777,0.453463410814479,0.355850711483474,0.608803171140547,0.8987024398936,0.45954558635129,0.288438411298459,0.9230879808439,0.623535984404605,0.841581092919596,0.657674254512841,0.525274866237053,0.437310360173047,0.539405048000164,0.247223602968141,0.450238267334921,0.772679499091229,0.294612870975596,0.462350232374408,0.282557943684934,0.651522212479869,0.65468640984484,0.721017669029126,0.347183846288841,0.666217533091887,0.82048048712918,0.848958127587897,0.859651901665572,0.68655095592965,0.949608702783754,0.372183279454671,0.520428488579632,0.185151315179935,0.366030558891291,0.717880147739039,0.0794915380335685,0.32291764865288,0.600627451621233,0.015864998176949,0.633655728188192,0.638588134953639,0.0283226217268729,0.812133477008685,0.48531383872229,0.596937812264631,0.0113775092081108,0.502122184670699,0.132147251415389,0.390083273937953,0.643855456351362,0.847238961906558,0.464227307852722,0.880820130093009,0.987573293640003,0.363659299534694,0.111151779678194,0.742796926035231,0.144952541107339,0.290080900325208,0.100126538971986,0.913502187876258,0.492426074672928,0.55756371738259,0.88501024768496,0.846837094725833,0.601524443169512,0.537134260468089,0.511293973271538,0.628232799070757,0.64568498249843,0.166730645303893,0.447523359864581,0.703454735723987,0.548307701087479,0.168553863465641,0.484322881869217,0.890211260038952,0.316464440855245,0.172343586201586,0.126376913105529,0.501348319112959,0.6337669351726,0.657909344258578,0.83699147830481,0.984507748980137,0.922666986138476,0.940511655368067,0.225333283853278,0.402060004060392,0.332862293842407,0.19199114616275
"X6",0.700383358101897,0.811890088594812,0.942804478049177,0.0868210588838037,0.876504892397952,NA,0.564674719031743,0.963413651770586,0.355368030967232,0.476640370376181,0.789860415220856,0.560624378785268,0.46396900961469,0.183585188413311,0.717596021999326,0.124536714295243,0.571913177513279,0.316803466966877,0.216733169573884,0.536902177843234,0.826319633403935,0.00939108699736459,0.339644812592332,0.956982615103334,0.394187427491151,0.367047838394462,0.258395589246975,0.996960938514671,0.813589252993073,0.187799814423634,0.811178187754455,0.709941366825637,0.415398948307707,0.806766303022531,0.400757893646181,0.383923915952573,0.557001861074322,0.852834755797437,0.869212988711516,0.374388507365839,0.759718235720622,0.458362559468549,0.191302270746923,0.946155029189838,0.376600776712875,0.155371255040263,0.995924811875888,0.104553916669193,0.887929008283588,0.176399451242585,0.544895719564121,0.431987428066973,0.833955584595508,0.855224955818836,0.586601224613619,0.338599329636313,0.30952382589085,0.08918081261008,0.410766631164858,0.907391400124565,0.374524607822642,0.665533664564217,0.145079670354279,0.66965522267683,0.0370965973285367,0.472092686430909,0.152404805005119,0.483433732181433,0.317753331612648,0.367806484320799,0.836700141082802,0.471612812146504,0.0797862441652443,0.669751296737572,0.975615307586245,0.878146483206223,0.34208204914662,0.406373319096846,0.86056457729215,0.359830858601499,0.937770866118434,0.984840018806128,0.454741641041156,0.806492126566066,0.604460508017013,0.800200293336534,0.889202002106191,0.886849409879329,0.822425496630277,0.916965472202233,0.447483262819904,0.624439476111552,0.782341138171995,0.346586006928031,0.945696323954665,0.961641897884268,0.418115508894015,0.738352626366902,0.577168952302243,0.614323126112226
"X7",0.568898752979888,0.977923549622788,0.49938252672216,0.0920688513868951,0.646394208589124,0.939090961102337,NA,0.516185785385404,0.557271136142141,0.97151812283161,0.358881514980384,0.0580125637464194,0.67672204844663,0.315685677397637,0.291389675326563,0.0499158004452231,0.0786028323360473,0.281239078970701,0.173817677940967,0.441170572214727,0.903392854154181,0.00528265929603006,0.04102399055198,0.239038769273961,0.564146389750334,0.693922173238164,0.657775444838254,0.326849680331341,0.940190507107576,0.890374286901017,0.971229277888506,0.57600568248307,0.965972528368191,0.647269423121965,0.80444181958785,0.930136747579616,0.563635525872703,0.262955064805623,0.376044637929771,0.917299638021493,0.962695088554706,0.503347212997734,0.96674450195865,0.494044135996787,0.880151926695455,0.228029967078657,0.407575561243639,0.118165152457689,0.669323021686085,0.471738163785666,0.616158902366548,0.411211730564042,0.756687461100839,0.969752488906264,0.769417497012265,0.62018092890922,0.554246273683932,0.326365234839054,0.669949615892596,0.944362114089928,0.159506358158542,0.701204954675675,0.248917721330298,0.774045751469462,0.446417212816717,0.499142665163385,0.121516205297736,0.879535520413371,0.035925304816442,0.379128429467314,0.358044152938652,0.713369671205261,0.51857518507105,0.275789047412557,0.83435094174853,0.250623732892082,0.0739750561402608,0.906378760186075,0.460877716354603,0.133063843338526,0.505285374089222,0.296549700346886,0.662771982492483,0.896401486094625,0.721775809510122,0.263648175491899,0.586762337805043,0.337042979935411,0.758676547804781,0.638848996753304,0.638858303216441,0.128343285269397,0.80174482856369,0.600084437598167,0.792761473518846,0.990488672996654,0.409890156918394,0.699844124686688,0.382429672350117,0.62377091135648
"X8",0.0165537099494758,0.0482136994042886,0.222736583076503,0.315287002474494,0.0749905974371318,0.862174955762253,0.174373938085466,NA,0.177181352219429,0.125611331765187,0.00986501891306391,0.54016950218816,0.819768130047448,0.422444011517982,0.909115483059151,0.410177934889029,0.775624269838007,0.0279635941790084,0.326196462806031,0.644007496587523,0.89871820720434,0.507071448772292,0.755544892217631,0.74762739564516,0.410325798519451,0.942768195161122,0.497203233613137,0.12763285425151,0.910248278479669,0.276243343281878,0.104177087833132,0.0023569761278571,0.775835280778095,0.259102898060617,0.251951794593755,0.850824156177081,0.0961612472317324,0.0496954093128362,0.459618405368998,0.715856911804036,0.400125064018359,0.0943888492353754,0.57138923512595,0.36833775305533,0.00148209584159408,0.225310052534514,0.0141325067273561,0.94953852185517,0.358435589460088,0.242359045722977,0.673939111629086,0.591730340828208,0.253403346756676,0.0588032028736001,0.160388691233777,0.179836128172085,0.283430063691388,0.356137901700813,0.00955182753067691,0.395544558076256,0.00461931022675583,0.014699378081486,0.0610791149346191,0.869569221843279,0.113776539372028,0.0727134547339404,0.327535299795345,0.85304802077375,0.437006441752363,0.654684723148682,0.31280432546451,0.317902164600699,0.0187028884112872,0.0333094841230829,0.00272078621903959,0.127986619925539,0.1431493160501,0.243077061842266,0.760411148983783,0.751836915784876,0.0587812471347551,0.475359957337156,0.435876490798452,0.15470126009148,0.202776612243156,0.797358833259806,0.180478534948893,0.793354091742294,0.326469051960813,0.209400126184777,0.417468575339333,0.5158518448388,0.12729142107633,0.412147094574051,0.0667020322166162,0.585505755129608,0.323889968748168,0.306283950032093,0.395202706281886,0.782211921088187
"X9",0.268777623232448,0.316531661747577,0.904446361851152,0.708176484761087,0.934873737741398,0.266500339430701,0.59579949776869,0.533013372698684,NA,0.0876092189961026,0.209676937124898,0.464448612304028,0.622149972258742,0.50089522993743,0.834966290920285,0.104861774060519,0.816891238983333,0.893117046081474,0.462923375415682,0.578987508600612,0.6808364385136,0.858272352783381,0.501692023446342,0.246134458459973,0.843824870472231,0.930342541232212,0.222525339611578,0.956159290952669,0.967520496801935,0.444887449348647,0.570233838897417,0.770298334037523,0.39221639183166,0.515674466667736,0.991132996011698,0.18792773662646,0.223618201356378,0.791035258059747,0.62374875207771,0.585022731269278,0.891498126313361,0.618869118866483,0.954308858890204,0.938337049047301,0.184520023232006,0.434451824808498,0.102809251952251,0.451821294383374,0.0676055118000339,0.800153938963515,0.267962841715134,0.562446091403838,0.25082834927303,0.461685547322258,0.326982117767215,0.352669684446914,0.285830562200863,0.549821049731905,0.535208473321567,0.858227595270705,0.26998327563678,0.730303430456271,0.851305922604058,0.893557301432922,0.923983255294574,0.705500425865731,0.154180819976234,0.612146310277051,0.74966806892247,0.0635417475389129,0.240884767997461,0.982221707488837,0.208465304202225,0.951099934105373,0.229408303031924,0.942097950777803,0.335329990734247,0.450634950565334,0.652411924100632,0.88541880483949,0.684071512784765,0.450332686021649,0.57705633341809,0.973978681447129,0.840086222045081,0.0351946117573494,0.303452390269102,0.820863499466642,0.439275510695767,0.921654083184443,0.889836775509112,0.938370773273379,0.295224094881745,0.36339679430918,0.622345453073531,0.602203451477034,0.352656366610905,0.716055852450045,0.379957508635841,0.579777427657019
"X10",0.413029299460506,0.624859167271882,0.734473970927866,0.751771394217815,0.353520559953055,0.457903873002806,0.915040906583828,0.799228192537154,0.18929180897498,NA,0.489744835197969,0.721233719177668,0.486029266912235,0.640079003224791,0.75756558353186,0.310448392038222,0.888316690602554,0.490416969372756,0.529260695155708,0.209387807876782,0.216587536796656,0.922372362936039,0.120555195836344,0.636371067019289,0.689414846824384,0.19379524528341,0.87062225104747,0.420391265330634,0.133132204706303,0.483800690713946,0.990822459058814,0.105975249805423,0.552056864482475,0.559895735451833,0.997309892846141,0.32656480639051,0.437249269531358,0.853716862458809,0.584602317339896,0.653990577718728,0.55552404485183,0.290395932689697,0.357919181058951,0.497628253435723,0.735356028140267,0.45508733315137,0.9609685381672,0.487130152437115,0.463573356640952,0.96282890143499,0.727398997056699,0.720040874905317,0.132864297809489,0.223808841207609,0.195822377920375,0.317094201125669,0.667761378089451,0.134298000812442,0.041825862543704,0.722589811097609,0.0307249806208444,0.043689247245628,0.16806690195437,0.844433334659578,0.532895136806031,0.0775406874858064,0.929002152448722,0.187060113272498,0.758148091072581,0.879783464163352,0.772101448385949,0.866944943293847,0.302048610037379,0.452239355908689,0.425604290043787,0.23068271425977,0.976536473199759,0.24678958069072,0.824962818318409,0.121306086997742,0.9545116042717,0.0729092158892134,0.135149844419512,0.885264952200845,0.515977758224006,0.852402533281081,0.834371016645618,0.912675505738568,0.784916664848502,0.827954216783444,0.125036851708484,0.866069593329331,0.202737653079337,0.908731998744848,0.797516510522763,0.875240423864051,0.0031150648204017,0.254136457813349,0.821673547879397,0.430604951487547
