,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
31.01.1994,0.120701,0.064777,0.16792,0.067633,0.054545,-0.00307,0.032586,0.033493,0.060032,0.011494,0.091922,0.1875,-0.01975,-0.072867,-0.054913,0.085873,0.027595,0.01791,-0.067114,-0.013115,0.111511,-0.009524,0.125954,0.019538,0.040698
28.02.1994,-0.048641,-0.103448,-0.042918,0.006381,-0.048276,-0.035477,-0.067511,-0.030556,-0.020864,0.049242,-0.069388,-0.192982,-0.116129,-0.060377,-0.129052,-0.048469,-0.006211,0.034135,0,-0.026578,-0.04886,0.009615,0.030508,-0.050523,-0.03352
31.03.1994,-0.064662,-0.051282,-0.085022,0.009964,0.015244,-0.062069,-0.036199,0.004831,-0.124505,-0.13574,-0.046961,-0.027853,-0.058394,0.13253,-0.014085,0.035818,-0.04375,-0.025714,-0.007914,0.014471,0.082192,-0.017714,-0.041184,0.025783,-0.010405
29.04.1994,0.078457,0.076577,0.1133,0.047534,0.072072,0.096569,0.058967,0.019231,-0.058099,0.059072,-0.089855,0.176471,0.007752,0.188511,0.046429,0.127937,0.028497,0.053372,0,0.070707,0.03481,-0.106796,0.020761,0.000898,-0.058824
31.05.1994,0.003003,0.054008,0.026549,0.081897,0.056583,0.065463,0.098655,0.025472,0.052336,0.083665,0.006369,0.121429,0.152615,0.059701,0.040273,0.010417,0.044872,0.073034,-0.007299,-0.012579,0.027523,-0.021739,0.047458,0.076233,0
30.06.1994,0,-0.067873,0.047586,-0.041434,-0.013369,-0.021186,-0.057143,-0.04186,-0.040497,0.008824,-0.079747,-0.046709,-0.006757,-0.135211,0.075658,-0.026667,-0.018405,-0.04712,0.058088,0.064459,-0.032934,-0.098444,-0.037023,0.046823,0.01375
29.07.1994,0.046108,0.037864,-0.016529,0.0399,-0.01897,0.104762,0.006753,0.058252,0.005629,0,-0.03125,0.053571,0.07483,-0.126254,0.110092,0.039146,0.06625,0.05,-0.027972,0.041916,0,0.067901,0.054237,0.035144,0.080745
31.08.1994,0.024496,0.061321,0.044118,0.028158,0.02674,0.023715,-0.026087,0.047706,0.098881,0.161765,0.113978,0.127119,0.055949,0.093284,-0.01708,0.047945,-0.011834,0.01847,0.064748,0.020115,-0.024768,0.33526,0.016077,-0.024074,0.017241
30.09.1994,-0.113924,0.08,-0.13666,-0.091549,-0.059783,-0.084942,-0.075893,-0.057522,-0.081155,-0.086962,-0.149351,-0.18985,-0.066667,-0.040956,-0.064607,-0.028627,-0.011976,-0.054404,0.012838,0.003493,-0.118211,0.105455,-0.02038,-0.038095,0.063277
31.10.1994,-0.027302,0.023868,0.021077,0.031008,0.040462,0.086751,-0.078261,-0.028169,0,-0.017483,-0.019084,0.018605,-0.059481,0.004413,-0.066066,-0.057627,0.009697,-0.09589,0.026846,0.103933,-0.01087,0.098039,-0.04886,-0.008251,-0.176471
30.11.1994,-0.064145,-0.040486,-0.084862,-0.028595,-0.100889,-0.12549,-0.117021,-0.030338,-0.11236,0.096085,0.077665,0.009132,-0.048951,-0.088652,-0.082958,-0.125899,-0.109091,-0.06303,-0.045752,-0.050891,-0.117216,-0.092857,-0.099315,-0.027621,-0.116883
30.12.1994,0.024605,0.003376,0.017744,0.004329,0.034375,0.067265,0.018072,0.050505,-0.048523,-0.027532,-0.051095,0.10181,-0.058824,0.023346,0.021127,0.038025,0.040816,-0.01634,-0.000685,0.121501,-0.041841,0.080157,-0.016578,-0.065292,0.126471
31.01.1995,-0.009537,0.067797,0.108911,0.02431,0.033233,0.01916,0.128994,0.033654,0.130926,0.087542,0.15,0.041152,0.108125,0.050342,0.089655,0.108,0.069281,0.027243,0.02069,-0.047847,0.139738,-0.036496,0.054688,0.082721,0.085526
28.02.1995,0.078671,0.06746,0.035714,0.089907,0.05462,0.116667,0.085106,0.12093,0.007984,0.083591,-0.003478,0.209486,0.071429,0.068841,0.041772,0.064982,0.104938,0.127451,0.067568,0.18593,0.122605,0.068182,0.044444,0.128014,0.012121
31.03.1995,0.055105,0.037175,0.048276,-0.026459,-0.028011,-0.014925,-0.044118,0.073527,-0.156436,0.001486,-0.050847,0.061275,-0.006667,0.138983,0.057927,-0.00122,-0.111732,0.02029,-0.005823,-0.028983,0.167279,-0.076738,-0.004823,0.033233,-0.00479
28.04.1995,0.092842,0.002867,0.078512,0.068106,0.043228,0.005909,0.045128,0.019531,0.038278,0.077586,0.157143,0.006173,0.134228,0.012619,0.129683,0,0.041509,0.022727,0.057692,0.039301,0.042945,0,-0.02518,-0.061404,0.018182
31.05.1995,0.052408,0.021583,0.044061,0.109269,0.093039,0.239544,0.074627,0.029579,0.156682,0.053333,0.17284,0.070552,0.046391,0.111765,0.04898,0.092466,0.060976,0.032222,0.018182,0.016807,0.078588,-0.123077,0.059041,0.038006,-0.065476
30.06.1995,0.017497,-0.007042,0.013578,-0.02038,-0.076531,-0.009202,-0.023148,0.041353,-0.011952,0.008911,-0.005368,0.019341,-0.057143,-0.060847,-0.004878,0.133668,0.103448,0.065217,0.089762,0.008926,-0.038462,0.027895,0.054774,0.033133,-0.024204
31.07.1995,-0.002063,0.098582,-0.047273,0.018169,0.08011,0.002724,-0.048341,0.054152,0.056452,0.060606,0.149333,0.216901,0.036364,0.032338,0.122549,0.005571,0.009583,0.05102,0.06044,0.04918,0.12,0.119658,0.026667,0.03207,-0.039474
31.08.1995,0.018692,0.048701,-0.019084,0.021933,0.036215,0.084112,0.060606,0.023014,0.069767,0.069048,0.011508,0.078704,0.104327,0.005464,0.046288,0.00277,0.114583,0.103398,0.056995,0.03125,0.073265,0.19084,0.068182,0.037288,0.041096
29.09.1995,0.086501,0.099071,0.080545,-0.004024,0.017456,0.068966,0.061905,-0.010135,0.018116,0.110735,-0.006928,0.04882,0.016043,0.179348,0.052301,-0.003757,-0.018692,-0.008869,0.029804,-0.00697,0.009569,0.097308,0.011307,0.038251,-0.005263
31.10.1995,0.018625,-0.079437,0.001808,0.138182,-0.026961,-0.089032,-0.04574,-0.006826,-0.078292,-0.092742,0.095349,-0.127049,-0.047368,-0.146359,-0.00994,-0.01676,-0.010286,0.020134,-0.028708,-0.053435,-0.091943,0.011696,-0.009091,0.035526,-0.033333
30.11.1995,0.0441,0.046154,0.111913,0.000595,0.111234,0.122024,0.114286,0.065292,0.017647,0.111111,0.191083,0.070423,0.137238,-0.008108,0.139157,0.039773,0.019417,0.07807,0.142857,-0.008065,0.026316,0.242775,0.042813,0.060737,0.006897
29.12.1995,0.131279,-0.026471,0.088312,0.027348,0.018307,0.034483,0.102564,-0.011742,0.040462,-0.04256,-0.053119,-0.072368,-0.004902,-0.032698,0.007958,0.012678,0,-0.030738,-0.012586,0.033171,-0.025641,0.135721,-0.012317,0.048077,0.117808
31.01.1996,0.120161,0.117221,0.025449,0.092245,0.040449,0.059487,-0.058915,0.056106,-0.024436,0.090336,0.11553,0.118483,-0.049261,0.176,0.036842,-0.05163,0.118286,-0.023256,-0.013158,0.007874,0.034737,-0.094262,-0.07485,0.03211,0.074074
29.02.1996,-0.083333,-0.002717,-0.036496,0.051145,0.054341,0.012195,0.020833,0.075,-0.003854,0.036609,0.127674,0.072034,-0.04228,-0.038369,0.109645,0.031519,-0.038627,0.020779,0.04,0.0625,0.066667,0.036199,0.032362,0.074222,0.034483
29.03.1996,0.007905,0.076294,0.037576,0.059301,-0.002066,-0.007229,0.004082,-0.004767,0.112186,0.010632,-0.065053,0.088933,0.054645,0.129676,-0.075688,0.025778,-0.008929,-0.017094,0.159487,0.088824,-0.043269,0.441834,0.021317,0.020747,0.001111
30.04.1996,-0.033255,-0.013165,-0.021994,-0.066316,0.018634,-0.048058,-0.004878,-0.079646,-0.021164,0.022181,-0.050162,-0.018182,-0.046632,-0.005563,0.081886,-0.027322,0.012793,-0.019565,0,0.064189,-0.015075,0.054545,-0.006192,-0.03252,-0.100559
31.05.1996,0.008163,-0.056701,-0.008996,-0.006698,0.002358,0.066838,0.004132,0.009615,0.082883,0.001808,0.013629,-0.02963,0.01087,0.031111,0.030275,0.05618,0.049327,0.011441,0.022222,0.053968,0.064286,0.16092,-0.003115,-0.005462,0.024845
28.06.1996,0.08502,-0.02459,0.039032,-0.00778,-0.00409,-0.012048,-0.020576,-0.011556,-0.003328,0.102383,0.000336,-0.043893,0.038043,-0.051724,0.026786,-0.044468,0.08547,-0.05531,-0.055,0.048675,-0.101449,-0.093614,0.009,0.021186,0.08
31.07.1996,-0.046567,-0.014566,-0.01462,-0.0207,0.043121,0.013463,-0.009244,0.019481,-0.027073,-0.019737,-0.013514,0.076,-0.005236,-0.109727,0.056522,0.030899,-0.070236,0.079625,0.057803,-0.083333,-0.06129,-0.081967,0.00625,0.033195,0.039548
30.08.1996,-0.023622,0,0.048961,0.06817,0.015039,0.082524,0.072961,0.05414,0.081739,0.063758,0.008562,0.033457,0.052632,0.084399,0.123868,0.065395,0.068376,0.017701,0.043716,0.040752,0.115607,0.077381,0.031056,0.0249,0.065217
