,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1994-01-31,0.073214,0.108303,0.121908,0.084469,-0.086641,0.114286,0.016304,0.12069,-0.004975,-0.011834,0.125628,0.104167,0.242718,-0.11465,-0.01049,0.085586,0.050233,0.064962,-0.078205,0.085,0.044944,0.134529,0.053846,-0.054795,-0.037383
1994-02-28,-0.094708,-0.058632,-0.15685,-0.10804,-0.067797,-0.106667,-0.048128,-0.038462,-0.0586,0.047904,0.005357,-0.034591,-0.011875,-0.079137,-0.190247,-0.077178,0.044444,-0.070922,0.0,-0.095238,0.032258,-0.017233,-0.078832,-0.04058,0.0
1994-03-31,-0.083077,-0.09375,-0.0394,-0.082704,-0.022727,-0.098266,-0.190337,-0.09984,-0.026738,-0.083657,-0.133929,-0.072313,0.222222,0.01625,-0.096916,0.045045,-0.085106,-0.04855,0.054545,-0.075188,-0.194583,-0.125,0.174603,-0.091603,-0.033398
1994-04-29,-0.010067,0.153257,-0.037109,-0.067692,0.058419,0.083333,-0.013986,0.017857,-0.043956,-0.025478,0.114433,0.059859,0.00974,-0.107692,0.029268,-0.068966,0.09093,-0.040323,-0.08,0.004878,0.146667,-0.064516,0.162162,-0.168067,0.0
1994-05-31,0.063864,0.039867,-0.025558,-0.023102,0.066079,0.019822,0.071773,0.059211,0.030345,-0.013072,-0.018605,-0.07309,0.039228,0.206897,0.023507,-0.030556,-0.048128,-0.003025,-0.072464,-0.097561,0.023256,-0.082365,-0.068605,0.044444,0.0
1994-06-30,-0.102564,-0.038462,-0.048117,0.005541,-0.181818,-0.165644,-0.08,-0.117847,-0.044944,-0.037351,-0.061611,-0.007885,-0.093168,0.000571,-0.055814,-0.033493,0.05618,-0.016949,0.00625,-0.045045,-0.019091,-0.037838,-0.1,-0.019608,0.025859
1994-07-29,0.046429,0.07,0.065934,-0.006734,0.083636,-0.051471,0.014493,0.058962,0.017647,0.070423,0.072727,0.007246,0.104452,-0.053571,-0.024631,0.034653,-0.023191,-0.068966,0.007813,0.043396,0.047619,-0.08427,-0.090278,0.09,0.009901
1994-08-31,0.115495,0.065421,0.155464,0.067797,0.149533,0.141085,0.15,0.140312,0.007399,0.026316,0.090047,0.032374,0.132651,-0.049057,0.186667,0.107177,-0.005464,0.185185,-0.021318,0.190909,-0.034091,0.314601,0.138931,-0.262385,0.04902
1994-09-30,-0.147692,-0.117302,-0.109319,-0.048762,-0.036585,-0.123288,-0.086211,0.050937,-0.046243,0.015128,-0.069565,0.023693,0.032967,-0.054921,-0.115385,-0.08658,-0.032967,-0.02625,0.04396,-0.061069,-0.090353,-0.098592,-0.033557,0.0,-0.022056
1994-10-31,0.143827,0.026578,0.052314,0.093645,0.196456,0.015625,0.013699,0.022388,0.030303,-0.058065,0.039252,-0.180887,0.0,0.058824,-0.004831,0.042654,0.015,-0.032258,-0.038168,0.033659,-0.12,-0.020833,-0.069444,0.177215,-0.019231
1994-11-30,-0.034921,-0.090615,-0.091013,-0.070336,-0.09894,-0.029231,-0.06,-0.145985,-0.039529,-0.116438,0.027149,-0.145833,-0.015957,-0.15873,-0.034175,0.001818,-0.02809,-0.041667,-0.063492,-0.162055,0.015152,0.001489,-0.013433,-0.122581,0.0
1994-12-30,-0.059211,-0.032143,-0.002114,-0.059868,0.094118,-0.016,0.043478,0.031111,0.12963,-0.004961,0.070485,0.125854,-0.044324,-0.008679,0.146465,0.05,0.063584,-0.026087,0.057627,0.056604,-0.159403,-0.037433,-0.098485,0.024691,-0.072157
1995-01-31,0.030909,0.103321,0.019068,-0.049123,0.149534,0.081301,0.020833,-0.083333,0.016393,0.144,0.149794,-0.004348,-0.130682,0.038095,0.088106,0.09697,-0.050435,0.095714,-0.032258,0.023571,0.092593,0.105556,-0.008403,0.036145,0.085106
1995-02-28,0.119454,0.07786,0.120582,0.143911,0.109375,0.136842,0.22449,0.163636,0.006882,-0.062937,0.093525,0.004367,0.024837,0.174312,0.142996,0.079051,0.091954,0.163934,0.066667,0.061404,0.135593,0.006432,0.031356,0.088372,0.176471
1995-03-31,0.036585,0.015576,0.00475,0.005806,0.090141,-0.013333,-0.016,0.141719,0.021505,-0.019701,0.026316,-0.352696,0.064103,0.102187,0.014286,0.106227,-0.126316,-0.023099,0.021875,0.049587,-0.092537,0.0,0.053498,0.0,-0.003
1995-04-28,0.070588,0.039877,0.03154,0.03537,0.063876,0.114865,0.039773,0.010309,-0.057895,0.078125,0.055769,-0.02027,0.216867,-0.021277,0.144366,-0.019868,0.058554,0.014493,-0.084615,0.001102,0.0,0.015075,0.082031,0.096774,0.058824
1995-05-31,0.038681,0.12472,0.095324,0.086957,0.021898,0.038182,-0.010929,-0.006803,0.063017,0.050725,-0.030488,0.006897,0.068317,0.072464,0.156923,0.122973,0.011429,0.05,-0.02521,0.043478,0.118644,0.070693,0.041155,0.152941,0.126984
1995-06-30,0.117021,-0.010526,0.077176,0.019429,0.253571,0.055556,0.000663,0.059178,0.015873,0.058759,0.081761,-0.055616,0.0,0.000541,0.172074,0.045181,0.028249,0.05932,0.12931,-0.022727,-0.018182,0.097674,0.0,0.034188,0.040282
1995-07-31,0.057143,0.074468,0.02372,0.120787,0.053105,0.035088,0.088889,0.142857,-0.052083,0.026667,0.125,-0.058394,0.069767,0.047297,0.051195,0.132565,-0.038462,0.122581,-0.085496,-0.033798,0.0,0.038136,0.111111,0.115702,0.030612
1995-08-31,0.042973,0.01802,0.038864,0.102757,0.01084,-0.061017,-0.005102,0.079545,0.046374,0.051948,0.244444,0.302326,-0.005217,0.174194,-0.026623,0.029008,0.049829,0.011494,0.0,0.233871,0.015873,0.050122,-0.01125,-0.136296,-0.089109
1995-09-29,0.084599,0.097561,0.116547,0.049545,0.243968,0.042424,0.098051,0.082316,0.047619,0.071111,-0.022917,0.082619,-0.039474,0.04989,0.227425,0.042079,-0.027322,-0.007273,0.109244,0.006536,0.07625,0.125,0.018987,0.0,0.048696
1995-10-31,-0.112,-0.115556,-0.099794,-0.119306,-0.209828,-0.075581,-0.042254,-0.029268,-0.025253,-0.047059,-0.1629,-0.082873,-0.041096,0.0,-0.223433,-0.097387,-0.113933,-0.011494,-0.001515,-0.047532,0.014925,-0.024306,-0.024845,-0.181034,-0.09375
1995-11-30,0.004685,0.028342,-0.008621,0.041872,0.060109,0.101887,0.065098,0.062814,0.121451,0.006173,-0.058824,-0.006024,0.013333,0.162304,0.071368,-0.014737,0.044586,0.052326,0.072519,-0.077069,0.0,0.125552,0.084076,0.08,0.137931
1995-12-29,-0.081081,-0.078431,-0.065217,-0.045201,-0.170103,-0.086207,-0.115741,-0.064586,-0.07907,0.060368,-0.081522,0.017455,0.028302,0.064144,-0.192118,-0.058824,0.103659,-0.056575,0.096085,-0.017391,0.012941,-0.038095,0.111765,0.078431,0.025051
1996-01-31,0.120294,0.151596,0.185736,0.064516,0.250435,0.157233,0.052356,0.096447,0.030303,0.017751,0.153846,-0.005988,0.091743,0.016949,0.134146,0.306818,0.020994,0.035294,0.012987,0.138761,0.19403,-0.138614,0.010582,0.0,-0.009901
1996-02-29,0.013187,-0.002864,-0.015748,0.074592,0.014925,0.06087,-0.034826,-0.00463,-0.022353,0.081395,0.024615,-0.084337,-0.021849,0.091667,0.132473,-0.044783,0.076087,0.005682,-0.065385,0.054688,0.0375,0.010805,0.194764,0.041818,-0.02
