,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1994-01-31,0.0323,0.0388,0.0089307,0.0134,0.0077,0.0179764,0.0446,0.006500000000000001,0.0211,-0.0007000000000000001,0.0248,-0.0775,0.044,0.0843,0.0534,-0.0431,0.0283,0.0238871,0.0215,-0.0031,0.0123,0.0073658,0.005500000000000001,-0.017126,-0.0333
1994-02-28,-0.003,0.016,-0.0344498,-0.0255,0.0027,-0.015879,0.0021,-0.0667,-0.0044,-0.0236,-0.0888,-0.0164,-0.04099999999999999,-0.0296,0.001,0.008199999999999999,-0.0274,-0.0180276,0.0136,-0.014,-0.018,-0.0518691,-0.0733,-0.05344469999999999,-0.0488
1994-03-31,0.0005,0.0242,-0.0319623,-0.0089,-0.0487,-0.04252190000000001,-0.0029,-0.0392,0.0145,-0.0283,-0.0873,0.0793,-0.061,-0.0536,-0.0277,-0.08439999999999999,-0.0204,-0.0431965,0.0182,0.0201,-0.05769999999999999,-0.0250253,-0.0405,0.1490002,0.0009
1994-04-30,-0.004699999999999999,0.0307,-0.036601,-0.0237,-0.0157,-0.0059806,-0.0014,-0.0436,0.0175,-0.0268,0.0235,-0.0206,-0.01,-0.0073,-0.0158,0.0083,-0.02,0.0079007,0.002,-0.0034,-0.0149,-0.0160256,-0.0206,0.06970989999999999,-0.006
1994-05-31,0.0143,0.008100000000000001,-0.002214,0.0029,-0.004500000000000001,0.019303,0.0019,-0.0037,0.0044,0.0052,0.0299,0.0489,0.048,0.0031,-0.0033,0.0132,0.0101,0.0067189,-0.0117,-0.0044,0.0019,0.0043766,0.0002,0.0520748,0.0906
1994-06-30,0.0102,0.006500000000000001,-0.0134907,0.0063,0.0019,-0.0312773,0.0088,0.0116,0.0023,0.0007000000000000001,-0.06480000000000001,0.0509,-0.05400000000000001,-0.0219,0.0034,-0.0162,0.0161,-0.0378198,0.0016,0.0098,0.0026,0.0018039,-0.0031,0.0329078,0.0702
1994-07-31,0.0211,0.0199,0.0037787,0.0053,0.0049,0.004200499999999999,0.0039,-0.0162,0.0171,-0.005,-0.005699999999999999,-0.0255,-0.027,0.0368,0.0091,0.0133,0.006500000000000001,0.0057803,0.0132,-0.0053,0.004500000000000001,0.002195,-0.0032,-0.1337584,-0.017
1994-08-31,0.0267,0.0135,0.0105763,0.0085,-0.0001,0.0306041,0.0163,0.005500000000000001,0.0035,-0.0003,0.0387,-0.0495,0.153,0.0153,0.003,0.0396,0.0073,0.0270115,-0.0174,-0.0268,0.0075,0.0188722,0.0243,-0.1767174,-0.0298
1994-09-30,0.0092,0.004,0.0088692,0.0095,-0.0007000000000000001,0.0193064,-0.008,0.0289,0.0075,0.011,0.019,0.0357,0.02,0.0505,0.0358,-0.0139,0.0003,0.005596,0.0009,0.0013,0.0019,0.0144869,0.0206,-0.046821,0.0349
1994-10-31,-0.0044,0.0176,-0.0085275,-0.0157,-0.0002,0.0217009,0.0138,-0.0243,0.0181,-0.003,0.0173,0.0278,-0.015,0.0004,-0.0034,-0.0117,-0.004,0.0100167,-0.0009,-0.0102,-0.0044,-0.0104256,-0.0127,-0.0101826,0.0197
1994-11-30,-0.0091,0.0107,-0.0140096,-0.0067,0.0005,-0.0301946,0.0029,-0.009300000000000001,-0.0064,-0.0085,-0.0607,0.0461,-0.01,-0.0196,-0.0444,-0.0644,-0.0129,-0.0297521,0.0066,-0.0006,-0.0087,-0.0161965,-0.0167,0.0073845,0.0483
1994-12-31,-0.0043,0.0036,0.007463999999999999,-0.0079,0.0006,0.0107917,-0.0053,-0.0281,0.006,0.0001,-0.0361,0.0229,-0.006,-0.004,0.0061,-0.0095,-0.0139,0.0176036,0.0305,0.0024,-0.005600000000000001,-0.008834700000000001,-0.0135,-0.0421756,0.0286
1995-01-31,0.0223,0.0006,0.0001785,-0.0008,0.0071,-0.0008235,0.008100000000000001,-0.0064,0.0085,-0.0151,0.0021,-0.0293,0.076,0.0265,0.0316,-0.0861,0.0022,0.000558,0.0264,0.0154,-0.0028,-0.0020874,0.0068,0.0049057,-0.0323
1995-02-28,0.0344,0.0079,0.009817,-0.0019,0.0125,0.0215992,0.004500000000000001,-0.0044,0.0069,-0.0089,0.04019999999999999,0.0644,0.036,0.07980000000000001,0.071,0.0109,0.0008,0.0167317,0.0195,0.0372,0.0091,-0.0058542,-0.0117,0.1371437,-0.04389999999999999
1995-03-31,0.0178,0.0023,0.0159081,0.0067,0.008100000000000001,0.0268623,0.0119,0.0378,0.007800000000000001,0.0155,0.0132,0.1459,0.0522,0.031,0.0308,0.003,0.005699999999999999,0.0219419,0.0217,0.0249,0.0129,0.0078298,0.0054,0.2441268,0.086
1995-04-30,0.0135,0.009399999999999999,0.0169639,0.0218,0.0133,0.0204817,0.0181,0.0033,0.0162,0.0199,0.005500000000000001,0.04219999999999999,-0.021,0.0036,0.0111,0.0085,0.0111,0.0107354,0.0123,0.0225,0.005600000000000001,0.0049155,0.004099999999999999,0.0379722,0.0145
1995-05-31,0.0141,0.0186,0.0156544,0.0158,0.01,0.0262546,0.018,-0.006500000000000001,0.0165,0.026,0.0192,-0.0085,-0.006,-0.0176,-0.0012,0.0366,0.0123,0.015932,0.0192,0.0389,0.0102,0.0096416,0.0092,-0.0259623,0.0684
1995-06-30,0.0331,0.0018,0.0395856,0.0019,0.0106,0.0483403,0.0007000000000000001,0.0114,0.0043,0.004500000000000001,0.0306,0.01,0.087,0.048,0.0346,-0.0074,0.0187,0.0538421,0.0143,0.0112,0.0106,0.017664,0.0254,-0.03588669999999999,0.0088
1995-07-31,0.0183,0.0216,0.0362149,-0.0053,0.0135,0.0691164,0.0259,0.0016,0.0102,0.0106,0.0547,-0.0204,0.1073,0.06570000000000001,0.0596,0.0339,0.0184,0.05853169999999999,0.0225,-0.0033,0.0062,0.0088361,0.0162,0.006299600000000001,-0.0309
1995-08-31,0.0151,0.0086,0.0179046,0.0218,0.0116,0.0160484,-0.0142,0.0248,-0.0024,0.0183,0.017,0.0148,0.08800000000000001,0.0058,0.0135,0.0012,0.0251,0.005623199999999999,0.005500000000000001,-0.002,0.0113,0.019827,0.024,0.1845766,-0.0266
1995-09-30,0.0184,0.0087,0.0120593,0.0073,0.0123,-0.0046717,0.021,0.0335,0.0163,0.017,0.0191,-0.0147,0.079,-0.001,0.0022,0.0046,0.0178,0.0046598,0.0204,0.0186,0.0106,0.0208055,0.0281,-0.065158,0.002
1995-10-31,-0.0128,0.0051,-0.0143443,-0.0021,0.0087,0.0050656,0.0016,0.006500000000000001,0.0153,-0.0054,-0.0388,-0.0018,-0.0558,-0.0314,-0.0128,-0.0014,0.011,-0.0032468,-0.0064,0.0075,0.0013,5.42e-05,-0.0019,0.1082303,-0.0111
1995-11-30,0.0191,-0.006,0.020174,0.0061,0.0059,0.0929704,0.0062,0.0125,0.0044,0.01,0.06179999999999999,0.0029,0.0585,0.0394,0.0277,-0.0351,0.0162,0.0469986,0.0111,0.0253,0.008,0.0100107,0.0136,0.1116125,0.01755
1995-12-31,0.0241,0.0152,0.008076100000000001,0.0289,0.0119,0.0583519,0.013,0.0317,0.0103,0.0346,0.055,0.0736,0.0802,0.0488,0.0314,0.0349,0.0317,0.0382222,0.0248,0.0279,0.0024,0.0109846,0.0173,0.04442409999999999,0.09175000000000001
1996-01-31,0.018,0.0133,0.0438005,0.0442,0.0133,0.009421500000000001,0.0127,0.0185,0.0142,0.03759999999999999,0.0518,0.0716,0.0547,-0.0083,-0.0073,0.0552,0.0159,0.0068493,0.042,0.0095,0.0176,0.0256035,0.0256,0.1578368,0.0169201
1996-02-29,0.0231,0.0123,0.0090381,-0.0036,0.0103,0.0236563,0.0086,0.004699999999999999,0.0066,-0.0025,0.0125,-0.1058,-0.006,-0.0375,-0.0101,-0.004,0.0165,0.0089286,0.0163,-0.0459,0.0146,-0.0034201,-0.0034,-0.1332636,-0.0425957
1996-03-31,0.0218,0.0114,-0.0004265,0.0043,0.009399999999999999,0.036973,0.0177,0.0211,0.0116,0.0135,0.0373,0.0104,0.009899999999999999,0.0222,0.0006,-0.0143,0.0185,0.0109566,0.0256,-0.001,0.0118,0.0182786,0.0183,0.095547,0.002772
1996-04-30,0.0239,0.0102,0.0211223,0.009000000000000001,0.0089,0.0730147,0.0063,0.0325,0.005699999999999999,0.0174,0.0605,0.0549,0.0551,0.05860000000000001,0.0521,0.0395,0.0358,0.0541892,0.0335,0.0135,0.0126,0.0327752,0.0328,0.09170410000000001,0.101572
1996-05-31,0.0207,0.0166,0.0184566,0.0195,0.0132,0.0226475,0.0221,0.0092,0.0134,0.01,0.0227,-0.055,0.0021,-0.0248,-0.0096,-0.007800000000000001,0.0244,0.0051404,0.0312,-0.0142,0.0125,0.010109,0.0101,-0.0118313,-0.0304
1996-06-30,-0.0038,0.0054,-0.0051973,0.0207,0.008199999999999999,-0.020099,0.0201,0.009000000000000001,0.0015,0.0105,-0.0348,0.0414,-0.038,-0.0449,-0.0169,-0.0016,0.0182,-0.001967,0.0004,0.01,0.0068,0.0060783,0.0061,0.0060448,0.0327
1996-07-31,-0.0058,0.009399999999999999,-0.0305905,0.013,0.0092,-0.0466862,0.0118,-0.0229,0.0186,-0.0069,-0.07400000000000001,0.0119,-0.1279,-0.0541,-0.0398,-0.0501,-0.0182,-0.0370516,0.0142,0.009300000000000001,0.002,-0.0166747,-0.0167,-0.1239765,-0.0764
1996-08-31,0.0164,0.0002,0.0220536,0.0123,0.0091,0.0277794,0.0049,0.0255,0.002,0.0205,0.0587,-0.013,0.07400000000000001,0.0302,0.008,0.0053,0.0206,0.0323373,0.0227,0.0012,0.0101,0.0119804,0.012,-0.052,0.005699999999999999
1996-09-30,0.0202,0.0028,0.0259488,0.006500000000000001,0.0062,0.0144653,0.0186,0.006,0.0116,0.0167,0.064,0.0255,0.0898,0.0185,0.0176,0.0021,0.0195,0.0210151,0.0214,0.0194,0.0129,0.0212454,0.0212,0.1255012,0.0647
1996-10-31,-0.0024,0.0143,0.0277947,0.0332,0.009399999999999999,0.0160397,0.0149,0.0115,0.0103,0.0188,-0.0014,0.0977,-0.0696,0.0185,0.0175,-0.0074,0.0243,0.024466,0.0023,0.0252,0.006,0.0286258,0.0286,0.2028246,0.0592
1996-11-30,0.0191,0.0146,0.0317805,0.0268,0.006,0.0392308,0.0126,0.0379,0.0151,0.0282,0.0387,0.0388,-0.0304,0.0207,0.0123,0.05139999999999999,0.0236,0.0382866,0.0069,0.0345,0.009899999999999999,0.0312115,0.0312,0.2694241,0.06570000000000001
1996-12-31,0.0219,0.0051,0.0037625,0.0186,0.0118,-0.0131775,0.0053,0.002,0.004099999999999999,0.0156,0.0004,0.0122,0.0473,0.0193,0.0109,-0.0115,0.013,-0.006571700000000001,0.0117,-0.0173,0.0142,0.0070433,0.006999999999999999,-0.0709457,-0.043
1994-02-28,-0.003,0.016,-0.0182,-0.0344498,0.0106,-0.0255,0.0027,-0.015879,0.0021,-0.0044,-0.0236,-0.0888,-0.0164,-0.04099999999999999,-0.0296,0.008199999999999999,-0.0274,-0.0180276,0.0136,-0.014,-0.018,-0.0518691,-0.0733,-0.05344469999999999,-0.0488
1994-03-31,0.0005,0.0242,-0.0089,-0.0319623,-0.0109,-0.0089,-0.0487,-0.04252190000000001,-0.0029,0.0145,-0.0283,-0.0873,0.0793,-0.061,-0.0536,-0.08439999999999999,-0.0204,-0.0431965,0.0182,0.0201,-0.05769999999999999,-0.0250253,-0.0405,0.1490002,0.0009
1994-04-30,-0.004699999999999999,0.0307,-0.0275,-0.036601,0.0218,-0.0237,-0.0157,-0.0059806,-0.0014,0.0175,-0.0268,0.0235,-0.0206,-0.01,-0.0073,0.0083,-0.02,0.0079007,0.002,-0.0034,-0.0149,-0.0160256,-0.0206,0.06970989999999999,-0.006
1994-05-31,0.0143,0.008100000000000001,0.0253,-0.002214,0.021,0.0029,-0.004500000000000001,0.019303,0.0019,0.0044,0.0052,0.0299,0.0489,0.048,0.0031,0.0132,0.0101,0.0067189,-0.0117,-0.0044,0.0019,0.0043766,0.0002,0.0520748,0.0906
1994-06-30,0.0102,0.006500000000000001,-0.012,-0.0134907,0.0302,0.0063,0.0019,-0.0312773,0.0088,0.0023,0.0007000000000000001,-0.06480000000000001,0.0509,-0.05400000000000001,-0.0219,-0.0162,0.0161,-0.0378198,0.0016,0.0098,0.0026,0.0018039,-0.0031,0.0329078,0.0702
1994-07-31,0.0211,0.0199,0.0398,0.0037787,-0.0058,0.0053,0.0049,0.004200499999999999,0.0039,0.0171,-0.005,-0.005699999999999999,-0.0255,-0.027,0.0368,0.0133,0.006500000000000001,0.0057803,0.0132,-0.0053,0.004500000000000001,0.002195,-0.0032,-0.1337584,-0.017
1994-08-31,0.0267,0.0135,0.0307,0.0105763,-0.004699999999999999,0.0085,-0.0001,0.0306041,0.0163,0.0035,-0.0003,0.0387,-0.0495,0.153,0.0153,0.0396,0.0073,0.0270115,-0.0174,-0.0268,0.0075,0.0188722,0.0243,-0.1767174,-0.0298
1994-09-30,0.0092,0.004,0.0068,0.0088692,0.0115,0.0095,-0.0007000000000000001,0.0193064,-0.008,0.0075,0.011,0.019,0.0357,0.02,0.0505,-0.0139,0.0003,0.005596,0.0009,0.0013,0.0019,0.0144869,0.0206,-0.046821,0.0349
1994-10-31,-0.0044,0.0176,-0.009300000000000001,-0.0085275,-0.0133,-0.0157,-0.0002,0.0217009,0.0138,0.0181,-0.003,0.0173,0.0278,-0.015,0.0004,-0.0117,-0.004,0.0100167,-0.0009,-0.0102,-0.0044,-0.0104256,-0.0127,-0.0101826,0.0197
1994-11-30,-0.0091,0.0107,-0.009899999999999999,-0.0140096,-0.018,-0.0067,0.0005,-0.0301946,0.0029,-0.0064,-0.0085,-0.0607,0.0461,-0.01,-0.0196,-0.0644,-0.0129,-0.0297521,0.0066,-0.0006,-0.0087,-0.0161965,-0.0167,0.0073845,0.0483
1994-12-31,-0.0043,0.0036,0.005500000000000001,0.007463999999999999,-0.0282,-0.0079,0.0006,0.0107917,-0.0053,0.006,0.0001,-0.0361,0.0229,-0.006,-0.004,-0.0095,-0.0139,0.0176036,0.0305,0.0024,-0.005600000000000001,-0.008834700000000001,-0.0135,-0.0421756,0.0286
1995-01-31,0.0223,0.0006,0.0278,0.0001785,-0.006,-0.0008,0.0071,-0.0008235,0.008100000000000001,0.0085,-0.0151,0.0021,-0.0293,0.076,0.0265,-0.0861,0.0022,0.000558,0.0264,0.0154,-0.0028,-0.0020874,0.0068,0.0049057,-0.0323
1995-02-28,0.0344,0.0079,0.0092,0.009817,0.0165,-0.0019,0.0125,0.0215992,0.004500000000000001,0.0069,-0.0089,0.04019999999999999,0.0644,0.036,0.07980000000000001,0.0109,0.0008,0.0167317,0.0195,0.0372,0.0091,-0.0058542,-0.0117,0.1371437,-0.04389999999999999
1995-03-31,0.0178,0.0023,0.0198,0.0159081,0.0533,0.0067,0.008100000000000001,0.0268623,0.0119,0.007800000000000001,0.0155,0.0132,0.1459,0.0522,0.031,0.003,0.005699999999999999,0.0219419,0.0217,0.0249,0.0129,0.0078298,0.0054,0.2441268,0.086
1995-04-30,0.0135,0.009399999999999999,0.0037,0.0169639,-0.0226,0.0218,0.0133,0.0204817,0.0181,0.0162,0.0199,0.005500000000000001,0.04219999999999999,-0.021,0.0036,0.0085,0.0111,0.0107354,0.0123,0.0225,0.005600000000000001,0.0049155,0.004099999999999999,0.0379722,0.0145
1995-05-31,0.0141,0.0186,0.0107,0.0156544,0.0266,0.0158,0.01,0.0262546,0.018,0.0165,0.026,0.0192,-0.0085,-0.006,-0.0176,0.0366,0.0123,0.015932,0.0192,0.0389,0.0102,0.0096416,0.0092,-0.0259623,0.0684
1995-06-30,0.0331,0.0018,0.0356,0.0395856,-0.0029,0.0019,0.0106,0.0483403,0.0007000000000000001,0.0043,0.004500000000000001,0.0306,0.01,0.087,0.048,-0.0074,0.0187,0.0538421,0.0143,0.0112,0.0106,0.017664,0.0254,-0.03588669999999999,0.0088
1995-07-31,0.0183,0.0216,0.0326,0.0362149,0.0131,-0.0053,0.0135,0.0691164,0.0259,0.0102,0.0106,0.0547,-0.0204,0.1073,0.06570000000000001,0.0339,0.0184,0.05853169999999999,0.0225,-0.0033,0.0062,0.0088361,0.0162,0.006299600000000001,-0.0309
1995-08-31,0.0151,0.0086,0.0257,0.0179046,0.0366,0.0218,0.0116,0.0160484,-0.0142,-0.0024,0.0183,0.017,0.0148,0.08800000000000001,0.0058,0.0012,0.0251,0.005623199999999999,0.005500000000000001,-0.002,0.0113,0.019827,0.024,0.1845766,-0.0266
