,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1994-01-31,-0.007657,-0.033898,0.065421,0.0,0.020615,0.05,0.01292,-0.013563,-0.01669,-0.02193,0.080909,-0.029524,0.101852,-0.151235,0.064556,0.088785,0.001988,-0.010141,0.111111,-0.011494,0.245283,-0.084337,-0.050847,0.02381,0.029268
1994-02-28,-0.046296,-0.087719,-0.071272,-0.051004,0.007599,-0.149002,0.027041,-0.041176,-0.059406,0.066368,-0.027542,0.059113,-0.216807,-0.018182,-0.097113,-0.064378,-0.039683,-0.011461,-0.044923,-0.032558,-0.022727,-0.030702,0.017857,-0.026279,-0.003791
1994-03-31,0.030744,-0.07,0.018701,0.037209,0.001508,-0.068592,-0.037594,-0.01227,-0.055639,0.037975,-0.078431,-0.018605,-0.032258,-0.135556,-0.063953,-0.035413,-0.09281,-0.069565,-0.040323,-0.024242,-0.145349,-0.064253,-0.070175,-0.113772,-0.086538
1994-04-29,0.010989,-0.005208,0.038417,-0.085202,0.026205,-0.015504,-0.029063,-0.042609,0.0209,-0.012195,0.029787,-0.059431,-0.105556,0.094421,-0.064472,0.004785,0.059497,0.10405,0.021008,-0.031056,0.052154,0.106796,-0.05283,0.108108,0.052632
1994-05-31,0.0,0.099476,0.073991,0.08,0.029586,0.043307,0.077236,0.085246,-0.022047,0.106667,0.020833,-0.050633,0.126708,0.066667,0.120401,-0.016667,-0.008639,-0.042614,-0.080988,0.055449,-0.153017,-0.04386,-0.02,-0.021463,-0.04775
1994-06-30,0.0,-0.088381,-0.086806,0.013761,-0.041667,-0.071698,0.022642,0.024169,0.043478,0.007463,0.00907,-0.045333,-0.21547,-0.020588,-0.068657,0.037676,0.004532,-0.083086,-0.053812,-0.019908,-0.094148,-0.092294,0.0,-0.01875,0.003984
1994-07-29,0.217391,0.052632,0.061998,0.036199,0.031184,0.010163,-0.009004,-0.102419,0.065421,0.033333,0.004315,0.041676,0.232394,0.165414,0.003974,0.0,0.010893,0.043366,0.066351,0.03125,0.314607,-0.050761,0.044898,-0.009554,0.079365
1994-08-31,-0.02551,0.04,-0.034595,0.053799,-0.001466,-0.018109,0.030075,0.023256,0.011696,0.031971,-0.013544,0.056604,-0.020571,-0.025806,0.096463,0.042254,0.056034,0.0375,0.094756,0.221818,0.209402,-0.010695,0.058824,0.051318,0.020588
1994-09-30,-0.007853,-0.074808,-0.047212,-0.09205,-0.082232,0.032787,-0.025547,-0.029221,-0.052023,-0.04878,-0.057208,-0.061224,-0.076023,-0.054834,0.029326,-0.052793,-0.021469,-0.063253,-0.020325,-0.035,0.088339,0.042595,-0.018519,-0.092025,-0.075243
1994-10-31,0.068602,0.010471,0.057851,0.013825,-0.03072,-0.011905,-0.057828,-0.01913,0.073846,0.0,-0.017184,0.0025,-0.012658,0.066667,-0.153162,-0.043062,-0.092243,0.02135,0.041494,-0.062176,0.064935,-0.052083,0.032075,-0.054054,-0.013123
